issuer_1,issuer_2,n_overlap_days,cointegrated,trace_stat,crit_95,phi,half_life_days,phi_t_stat
ABBV,MSFT,20,True,28.160306651137375,15.4943,-0.23378620402483932,0.4769312418229302,-1.1128777232388944
JNJ,TMO,19,True,22.09872050041866,15.4943,0.23379146629019776,0.47693862837539386,0.9845066471310537
HD,MSFT,19,True,33.66951722363184,15.4943,-0.23419911007664984,0.4775110213063674,-1.1198124723842569
MSFT,TGT,19,True,27.46570384017144,15.4943,-0.23542578852162221,0.4792357378888331,-1.1260950714407143
MSFT,T,19,True,37.633662465608744,15.4943,-0.23571188459507164,0.47963848447864954,-1.1456609924138073
C,JNJ,19,True,27.814341105295146,15.4943,-0.23591266624682394,0.47992124330804103,-0.9521971872970574
MCD,NSC,18,True,21.67847723962075,15.4943,-0.2359726469147596,0.48000573145228037,-0.969967718854936
SBUX,WFC,19,True,16.568445703292355,15.4943,-0.23643220996956,0.4806533418522106,-0.9759404186087508
ABBV,SBUX,19,True,17.720810398369906,15.4943,-0.23880135687128767,0.48399968179228303,-0.9697599404606633
JNJ,MSFT,20,True,25.195978768614147,15.4943,-0.2391203785760121,0.48445129147243315,-1.1242940013099296
MSFT,TMO,19,True,29.62021513041658,15.4943,-0.23996873924154838,0.485653405771569,-1.1421799424664356
MSFT,PG,19,True,31.97863509708768,15.4943,-0.2405821445183024,0.4865236542980837,-1.1522808902669657
ORCL,PEP,20,True,15.77294256554653,15.4943,-0.24415340154625553,0.4916081947422496,-1.0410952462143928
MSFT,SBUX,19,True,32.624280944044465,15.4943,-0.2448784581526393,0.49264427205614664,-1.168051551637347
GS,MSFT,19,True,30.28538651227495,15.4943,-0.24496759556023062,0.4927717350607958,-1.1808993903830312
CSCO,MSFT,19,True,25.116480685641786,15.4943,-0.24561493065476558,0.493697986741873,-1.1770663926834644
INTC,MSFT,20,True,27.443518585926153,15.4943,-0.246406989511608,0.4948327301980607,-1.1965447821785282
PEP,WFC,19,True,19.376675380694174,15.4943,-0.24733369557302076,0.4961623588480362,-1.0820901724217837
CAT,MSFT,19,True,25.43592871104131,15.4943,-0.2473854984352719,0.4962367484557211,-1.1893555345570348
NSC,ORCL,18,True,17.069403964067167,15.4943,-0.24775644648300796,0.4967696315575941,-1.004104137247751
BA,MSFT,19,True,32.23229622375378,15.4943,-0.24792845746528502,0.4970168501826751,-1.1828684982795046
HON,T,19,True,16.119192195111147,15.4943,-0.2481882553211825,0.4973903795679242,-1.0406448495217961
CSCO,WFC,19,True,18.15494558139336,15.4943,-0.2490334437885836,0.4986067447271883,-1.0195744335734667
KMI,MSFT,19,True,40.17224991911304,15.4943,-0.24929016285389038,0.4989765639928166,-1.1657896245749497
AXP,WFC,19,True,20.596447239058996,15.4943,-0.24945378245937955,0.49921235526650354,-1.0482019856000273
AXP,MSFT,19,True,26.66660058682419,15.4943,-0.2509685041969658,0.5013984571302649,-1.1996607005115132
ORCL,UNH,21,True,15.987110066879469,15.4943,-0.2538593322031768,0.5055870405352888,-1.0998238060220131
BA,UPS,19,True,17.648847316734447,15.4943,-0.25425101948098394,0.5061562427411836,-1.0511669456361574
ABBV,BA,19,True,16.121706509576065,15.4943,-0.25478826190193526,0.5069376236904902,-1.0564288624032339
BA,WFC,19,True,17.406449294892234,15.4943,-0.25499520932223874,0.5072388173543003,-1.058649305522642
MCD,UNH,21,True,16.9245212785163,15.4943,-0.2552133996630652,0.5075564968406947,-1.1078183082198878
MCD,MSFT,20,True,27.971457211618187,15.4943,-0.25850522059630265,0.5123647241025673,-1.2543908894608788
AEP,ORCL,18,True,17.82126997535466,15.4943,-0.2586463539983675,0.5125715239437856,-1.0591749414942353
HON,UPS,19,True,18.573529910916253,15.4943,-0.2596501493690466,0.5140439269482564,-1.103466235054982
PEP,TMO,19,True,19.707120365324254,15.4943,-0.2598949066236295,0.5144033624370025,-1.2632524466488617
CAT,WFC,19,True,19.507342629015263,15.4943,-0.2612680172755821,0.5164228762813468,-1.0755625567972393
PEP,UNH,20,True,30.315509849963405,15.4943,-0.26195770238866556,0.5174391983394422,-1.0674781413879275
C,CSCO,19,True,25.126286517920736,15.4943,-0.26452066763967347,0.5212276075711192,-1.0493894420812133
AEP,T,18,True,32.82220720809265,15.4943,-0.2646156105609614,0.5213683002905436,-1.2818457527591136
UNH,VZ,22,True,21.498650342791088,15.4943,-0.26530895542885724,0.5223965176462659,-1.1936762115458626
CSCO,KO,19,True,19.602358215003424,15.4943,-0.2663816895518782,0.5239900523128588,-1.105982082714641
MSFT,WFC,19,True,36.49452795362228,15.4943,-0.26652365333798556,0.5242011838372066,-1.2871858751986698
HUM,WFC,18,True,16.173011729253634,15.4943,-0.26703490458397316,0.5249620054241113,-1.1135344166391463
AEP,PG,18,True,18.2568799007856,15.4943,-0.26758100970156395,0.5257755236480324,-1.1276795492686873
AEP,TAP,18,True,16.143740684180923,15.4943,-0.26772519171022996,0.525990450939907,-1.1306643137923273
KO,TAP,18,True,19.133611803908682,15.4943,-0.26861109174927345,0.5273123499424962,-1.0431924938766306
TMO,WFC,19,True,17.981332989661507,15.4943,-0.27109353833811867,0.5310287059293628,-1.1291159151506862
AEP,BA,18,True,17.233118546936602,15.4943,-0.272459680146181,0.5330816204539272,-1.1208173386175155
TGT,UNH,19,True,27.613037295417634,15.4943,-0.27278790765427774,0.5335756757305583,-1.1074005524626795
HON,TGT,19,True,15.76495029019041,15.4943,-0.27465030410797164,0.5363850911318484,-1.1614410276606342
